,log_no,date,time
77,60186,"""2009-06-06 12:33:47","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
78,60225,"""2009-06-06 12:34:48","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
79,60227,"""2009-06-06 12:34:48","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
80,60298,2009-06-06 12:35:31,rpd: %DAEMON-: ted_client reset
81,60331,2009-06-06 12:36:27,rpd: %DAEMON-: ted_client reset
82,60367,2009-06-06 12:37:18,rpd: %DAEMON-: ted_client reset
83,60511,2009-06-06 12:39:08,rpd: %DAEMON-: ted_client reset
84,60553,2009-06-06 12:40:01,rpd: %DAEMON-: ted_client reset
85,60608,2009-06-06 12:41:01,rpd: %DAEMON-: ted_client reset
86,60683,2009-06-06 12:42:07,rpd: %DAEMON-: ted_client reset
87,60707,2009-06-06 12:43:04,rpd: %DAEMON-: ted_client reset
88,60751,2009-06-06 12:43:59,rpd: %DAEMON-: ted_client reset
89,60814,2009-06-06 12:44:50,rpd: %DAEMON-: ted_client reset
90,60891,2009-06-06 12:45:42,rpd: %DAEMON-: ted_client reset
91,60893,"""2009-06-06 12:45:54","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
92,60895,"""2009-06-06 12:45:54","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
93,62544,2009-06-07 08:07:24,rpd: %DAEMON-: ted_client reset
94,62548,"""2009-06-07 08:07:37","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
95,62550,"""2009-06-07 08:07:37","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
96,63253,2009-06-07 15:33:45,rpd: %DAEMON-: ted_client reset
97,64682,2009-06-08 09:18:15,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
98,65496,2009-06-08 17:42:03,rpd: %DAEMON-: ted_client reset
99,66792,2009-06-09 09:14:57,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
100,66890,2009-06-09 10:19:46,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
101,66997,2009-06-09 11:25:16,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
102,67474,2009-06-09 16:40:36,rpd: %DAEMON-: ted_client reset
103,67923,2009-06-09 21:39:58,rpd: %DAEMON-: ted_client reset
104,68931,2009-06-10 09:49:53,rpd: %DAEMON-: ted_client reset
105,69614,2009-06-10 15:48:33,rpd: %DAEMON-: ted_client reset
106,69976,2009-06-10 18:16:40,rpd: %DAEMON-: ted_client reset
107,70331,2009-06-10 21:40:26,rpd: %DAEMON-: ted_client reset
108,72549,2009-06-13 17:24:37,rpd: %DAEMON-: ted_client reset
109,72647,2009-06-13 18:44:36,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (External AS ): received unexpected EOF
110,73779,2009-06-14 09:12:50,rpd: %DAEMON-: ted_client reset
111,75229,2009-06-15 03:29:56,rpd: %DAEMON--IF: Skipped marking address fe::aa:ff:fe:ffc on ifl ae. as UP. Reason: addr is in TENTATIVE state.
112,75230,"""2009-06-15 03:29:57","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
113,75232,"""2009-06-15 03:29:57","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
114,75235,"""2009-06-15 03:30:17","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
115,75237,"""2009-06-15 03:30:17","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
116,75238,"""2009-06-15 03:30:35","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
117,75240,"""2009-06-15 03:30:36","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
118,75242,"""2009-06-15 03:31:08","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
119,75244,"""2009-06-15 03:31:08","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
120,78116,2009-06-16 13:08:26,rpd: %DAEMON-: ted_client reset
121,78118,"""2009-06-16 13:08:39","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
122,78120,"""2009-06-16 13:08:39","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
123,78563,2009-06-16 17:17:17,rpd: %DAEMON-: ted_client reset
124,79764,2009-06-17 08:03:25,rpd: %DAEMON-: ted_client reset
125,80105,2009-06-17 11:59:11,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
126,81590,2009-06-18 05:42:54,rpd: %DAEMON-: ted_client reset
