date,time,software/module,type_log,Interface_Descriptor,type
14-05-2009,02:50:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,02:50:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,02:57:42,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,02:57:42,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:00:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:00:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:05:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,ge-##/#/#
14-05-2009,03:05:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:05,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:05,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:05,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,03:05:06,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,03:05:06,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,03:05:07,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,03:05:07,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:07,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:09,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,03:05:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:05:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:10:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:10:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:15:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:15:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:20:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:20:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:25:41,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:25:41,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:30:05,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:35:33,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:35:33,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:40:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,03:40:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,03:45:17,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
