,log_no,date,time
0,4682,"""2009-05-16 08:31:30","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
1,10638,"""2009-05-19 07:06:43","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
2,10942,"""2009-05-19 10:39:13","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
3,11515,"""2009-05-19 16:59:55","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
4,12720,"""2009-05-20 08:32:49","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
5,17543,"""2009-05-16 08:31:30","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
6,23499,"""2009-05-19 07:06:43","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
7,23803,"""2009-05-19 10:39:13","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
8,24376,"""2009-05-19 16:59:55","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
9,25581,"""2009-05-20 08:32:49","rpd: %DAEMON-: bgp_pp_recv:: NOTIFICATION sent to _IP__PORT (External AS ): code  (Cease) subcode  (Connection Collision Resolution), Reason: dropping _IP__PORT (External AS ), connection collision prefers _IP__PORT (proto)"""
