,log_no,date,time
67,443,2009-05-14 05:40:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
68,451,2009-05-14 05:45:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
69,458,2009-05-14 05:50:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
70,465,2009-05-14 05:55:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
71,473,2009-05-14 06:00:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
72,479,2009-05-14 06:04:57,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
73,486,2009-05-14 06:10:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
74,492,2009-05-14 06:14:54,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
75,500,2009-05-14 06:20:06,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
76,507,2009-05-14 06:25:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
77,513,2009-05-14 06:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
78,519,2009-05-14 06:34:56,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
79,527,2009-05-14 06:40:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
80,533,2009-05-14 06:44:52,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
81,542,2009-05-14 06:50:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
82,548,2009-05-14 06:55:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
83,554,2009-05-14 07:00:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
84,561,2009-05-14 07:05:19,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
85,568,2009-05-14 07:10:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
86,574,2009-05-14 07:14:52,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
87,583,2009-05-14 07:20:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
88,590,2009-05-14 07:25:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
89,598,2009-05-14 07:30:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
90,604,2009-05-14 07:34:45,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
91,611,2009-05-14 07:40:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
92,617,2009-05-14 07:45:19,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
93,623,2009-05-14 07:50:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
94,629,2009-05-14 07:55:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
95,635,2009-05-14 08:00:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
96,642,2009-05-14 08:05:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
97,651,2009-05-14 08:10:27,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
98,668,2009-05-14 08:14:38,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
99,675,2009-05-14 08:20:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
100,684,2009-05-14 08:25:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
101,690,2009-05-14 08:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
102,696,2009-05-14 08:35:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
103,703,2009-05-14 08:40:29,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
104,709,2009-05-14 08:45:08,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
105,716,2009-05-14 08:50:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
106,723,2009-05-14 08:55:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
107,729,2009-05-14 09:00:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
108,735,2009-05-14 09:05:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
109,742,2009-05-14 09:10:27,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
110,748,2009-05-14 09:15:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
111,755,2009-05-14 09:20:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
112,762,2009-05-14 09:25:49,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
113,769,2009-05-14 09:30:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
114,776,2009-05-14 09:35:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
115,783,2009-05-14 09:40:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
116,790,2009-05-14 09:45:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
117,797,2009-05-14 09:50:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
118,804,2009-05-14 09:55:00,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
119,807,2009-05-14 09:58:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
120,809,2009-05-14 09:58:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
121,810,2009-05-14 09:58:13,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
122,812,2009-05-14 09:58:14,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
123,818,2009-05-14 09:58:20,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
124,820,2009-05-14 09:58:22,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
125,826,2009-05-14 10:00:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
126,833,2009-05-14 10:05:44,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
127,841,2009-05-14 10:10:42,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
128,849,2009-05-14 10:15:08,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
129,855,2009-05-14 10:15:29,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
130,857,2009-05-14 10:15:31,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
131,859,2009-05-14 10:15:57,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
132,866,2009-05-14 10:20:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
133,873,2009-05-14 10:25:48,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
134,882,2009-05-14 10:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
135,889,2009-05-14 10:35:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
136,896,2009-05-14 10:40:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
137,904,2009-05-14 10:45:19,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
138,911,2009-05-14 10:50:13,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
139,918,2009-05-14 10:55:24,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
140,926,2009-05-14 11:00:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
141,933,2009-05-14 11:05:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
142,940,2009-05-14 11:10:27,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
143,961,2009-05-14 11:15:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
144,968,2009-05-14 11:20:13,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
145,977,2009-05-14 11:25:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
146,983,2009-05-14 11:30:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
147,990,2009-05-14 11:35:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
148,999,2009-05-14 11:40:41,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
149,1003,2009-05-14 11:44:54,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
150,1014,2009-05-14 11:50:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
151,1021,2009-05-14 11:55:32,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
152,1030,2009-05-14 12:00:10,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
153,1037,2009-05-14 12:05:01,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
154,1044,2009-05-14 12:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
155,1052,2009-05-14 12:15:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
156,1059,2009-05-14 12:20:06,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
157,1066,2009-05-14 12:25:42,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
158,1074,2009-05-14 12:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
159,1079,2009-05-14 12:35:27,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
