,log_no,date,time
197,118855,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
198,118860,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
199,118861,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
200,118867,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
201,118868,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
202,118874,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
203,118875,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
204,118881,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
205,118882,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
206,118888,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
207,118889,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
208,118895,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
209,118896,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
210,118902,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished CBF-chan-tx-
211,118903,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup finished      ==> CBF-chan-rx- initialization.
212,119032,2009-07-06 02:00:50,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
213,119520,2009-07-06 07:26:21,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
214,119521,2009-07-06 07:26:21,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
