,log_no,date,time
0,5976,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
1,5977,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
2,5978,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
3,5979,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
4,7508,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
5,7509,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
6,7510,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
7,7511,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
8,18837,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
9,18838,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
10,18839,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
11,18840,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
12,20369,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
13,20370,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
14,20371,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
15,20372,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
16,26190,2009-05-20 15:42:13,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
17,26191,2009-05-20 15:42:13,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
18,26192,2009-05-20 15:42:13,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
19,26193,2009-05-20 15:42:13,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
20,32198,2009-05-23 15:12:37,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
21,32199,2009-05-23 15:12:37,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
22,32200,2009-05-23 15:12:37,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
23,32201,2009-05-23 15:12:37,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
24,34624,2009-05-24 20:17:51,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
25,34625,2009-05-24 20:17:51,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
26,34626,2009-05-24 20:17:51,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
27,34627,2009-05-24 20:17:51,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
28,34748,2009-05-24 20:58:46,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
29,34749,2009-05-24 20:58:46,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
30,34750,2009-05-24 20:58:46,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
31,34751,2009-05-24 20:58:46,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
32,40073,2009-05-27 12:57:10,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
33,40074,2009-05-27 12:57:10,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
34,40075,2009-05-27 12:57:10,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
35,40076,2009-05-27 12:57:10,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
36,40391,2009-05-27 15:27:53,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
37,40392,2009-05-27 15:27:53,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
38,40393,2009-05-27 15:27:53,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
39,40394,2009-05-27 15:27:53,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
40,43350,2009-05-30 12:55:06,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
41,43351,2009-05-30 12:55:06,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
42,43352,2009-05-30 12:55:06,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
43,43353,2009-05-30 12:55:06,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
44,44002,2009-05-30 19:27:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
45,44003,2009-05-30 19:27:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
46,44004,2009-05-30 19:27:45,chassisd[]: %DAEMON--JAM: Plugin installed for stout_mic_xge PIC.
