,log_no,date,time
61,39661,2009-05-27 08:27:39,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
62,39663,2009-05-27 08:27:43,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
63,39665,2009-05-27 08:27:47,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
64,41688,2009-05-28 06:05:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
65,41690,2009-05-28 06:05:21,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
66,41692,2009-05-28 06:05:25,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
67,41700,2009-05-28 06:05:41,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
68,42193,2009-05-29 06:08:22,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
69,42195,2009-05-29 06:08:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
70,42197,2009-05-29 06:08:30,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
71,42205,2009-05-29 06:08:42,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
72,42207,2009-05-29 06:08:47,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
73,42209,2009-05-29 06:08:51,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
74,42735,2009-05-30 06:05:48,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
75,42737,2009-05-30 06:05:52,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
76,45074,2009-05-31 06:10:59,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
77,45076,2009-05-31 06:11:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
78,45084,2009-05-31 06:11:20,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
79,45086,2009-05-31 06:11:24,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
80,45088,2009-05-31 06:11:28,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
81,45096,2009-05-31 06:11:44,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
82,45098,2009-05-31 06:11:48,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
83,47545,2009-06-01 06:06:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
84,47547,2009-06-01 06:06:21,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
85,47549,2009-06-01 06:06:25,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
86,47557,2009-06-01 06:06:42,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
87,47559,2009-06-01 06:06:46,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
88,47976,2009-06-01 10:50:53,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
89,47978,2009-06-01 10:50:58,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
90,47980,2009-06-01 10:51:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
91,49647,2009-06-02 06:21:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
92,50093,2009-06-02 11:47:31,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
93,50328,2009-06-02 14:04:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
94,50330,2009-06-02 14:04:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
95,50332,2009-06-02 14:04:13,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
96,50340,2009-06-02 14:04:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
97,50342,2009-06-02 14:04:30,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
98,51073,2009-06-02 23:06:22,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
99,51075,2009-06-02 23:06:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
100,51077,2009-06-02 23:06:30,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
101,51085,2009-06-02 23:06:47,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
102,51087,2009-06-02 23:06:51,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
103,51089,2009-06-02 23:06:55,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
104,51097,2009-06-02 23:07:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
105,51648,2009-06-03 06:22:29,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
